Data,cena/m3
29-12-2018,3 579
28-12-2018,3 592
22-12-2018,3 603
21-12-2018,3 601
20-12-2018,3 654
19-12-2018,3 662
18-12-2018,3 725
15-12-2018,3 736
14-12-2018,3 742
13-12-2018,3 743
12-12-2018,3 740
11-12-2018,3 757
08-12-2018,3 763
07-12-2018,3 741
06-12-2018,3 758
05-12-2018,3 716
04-12-2018,3 686
01-12-2018,3 683
30-11-2018,3 689
29-11-2018,3 683
28-11-2018,3 691
27-11-2018,3 747
24-11-2018,3 742
23-11-2018,3 788
22-11-2018,3 822
21-11-2018,3 840
20-11-2018,3 858
17-11-2018,3 864
16-11-2018,3 861
15-11-2018,3 872
14-11-2018,3 897
10-11-2018,3 925
09-11-2018,3 934
08-11-2018,3 932
07-11-2018,3 960
06-11-2018,3 968
03-11-2018,4 030
01-11-2018,4 081
31-10-2018,4 087
30-10-2018,4 055
27-10-2018,4 029
26-10-2018,4 041
25-10-2018,4 084
24-10-2018,4 121
23-10-2018,4 154
20-10-2018,4 162
19-10-2018,4 136
18-10-2018,4 117
17-10-2018,4 134
16-10-2018,4 126
13-10-2018,4 170
12-10-2018,4 232
11-10-2018,4 290
10-10-2018,4 308
09-10-2018,4 336
06-10-2018,4 341
05-10-2018,4 336
04-10-2018,4 320
03-10-2018,4 323
02-10-2018,4 291
29-09-2018,4 291
28-09-2018,4 290
27-09-2018,4 304
26-09-2018,4 318
25-09-2018,4 313
22-09-2018,4 289
21-09-2018,4 289
20-09-2018,4 281
19-09-2018,4 285
18-09-2018,4 284
15-09-2018,4 308
14-09-2018,4 319
13-09-2018,4 325
12-09-2018,4 315
11-09-2018,4 313
08-09-2018,4 329
07-09-2018,4 339
06-09-2018,4 383
05-09-2018,4 391
04-09-2018,4 403
01-09-2018,4 359
31-08-2018,4 344
30-08-2018,4 336
29-08-2018,4 338
25-08-2018,4 343
24-08-2018,4 329
23-08-2018,4 326
22-08-2018,4 320
21-08-2018,4 325
18-08-2018,4 321
17-08-2018,4 315
15-08-2018,4 311
14-08-2018,4 295
11-08-2018,4 292
10-08-2018,4 289
09-08-2018,4 336
08-08-2018,4 388
07-08-2018,4 396
04-08-2018,4 415
03-08-2018,4 383
02-08-2018,4 371
01-08-2018,4 359
31-07-2018,4 367
28-07-2018,4 374
27-07-2018,4 354
26-07-2018,4 334
25-07-2018,4 316
24-07-2018,4 292
21-07-2018,4 268
20-07-2018,4 243
19-07-2018,4 236
18-07-2018,4 235
17-07-2018,4 265
14-07-2018,4 320
13-07-2018,4 319
12-07-2018,4 348
11-07-2018,4 357
10-07-2018,4 354
07-07-2018,4 361
06-07-2018,4 367
05-07-2018,4 372
04-07-2018,4 364
03-07-2018,4 373
30-06-2018,4 367
29-06-2018,4 324
28-06-2018,4 290
27-06-2018,4 266
26-06-2018,4 263
23-06-2018,4 266
22-06-2018,4 263
21-06-2018,4 248
20-06-2018,4 246
19-06-2018,4 234
16-06-2018,4 253
15-06-2018,4 268
14-06-2018,4 284
13-06-2018,4 275
12-06-2018,4 277
09-06-2018,4 279
08-06-2018,4 271
07-06-2018,4 277
06-06-2018,4 310
05-06-2018,4 348
02-06-2018,4 379
31-05-2018,4 396
30-05-2018,4 395
26-05-2018,4 407
25-05-2018,4 427
24-05-2018,4 422
23-05-2018,4 421
22-05-2018,4 414
19-05-2018,4 396
18-05-2018,4 373
17-05-2018,4 327
16-05-2018,4 302
15-05-2018,4 285
12-05-2018,4 278
11-05-2018,4 266
10-05-2018,4 250
09-05-2018,4 207
05-05-2018,4 192
03-05-2018,4 171
01-05-2018,4 159
28-04-2018,4 142
27-04-2018,4 131
26-04-2018,4 112
25-04-2018,4 091
24-04-2018,4 069
21-04-2018,4 051
20-04-2018,4 034
19-04-2018,4 019
18-04-2018,4 011
17-04-2018,4 018
16-04-2018,4 026
14-04-2018,4 026
13-04-2018,4 023
12-04-2018,4 000
11-04-2018,3 971
10-04-2018,3 943
07-04-2018,3 923
06-04-2018,3 916
05-04-2018,3 914
30-03-2018,3 955
29-03-2018,3 968
28-03-2018,3 970
27-03-2018,3 949
24-03-2018,3 910
23-03-2018,3 841
22-03-2018,3 793
21-03-2018,3 715
20-03-2018,3 715
17-03-2018,3 688
16-03-2018,3 671
15-03-2018,3 662
14-03-2018,3 659
13-03-2018,3 638
10-03-2018,3 621
09-03-2018,3 615
08-03-2018,3 637
07-03-2018,3 637
06-03-2018,3 658
03-03-2018,3 661
02-03-2018,3 680
01-03-2018,3 672
28-02-2018,3 672
27-02-2018,3 676
24-02-2018,3 680
23-02-2018,3 681
22-02-2018,3 685
21-02-2018,3 666
20-02-2018,3 653
17-02-2018,3 643
16-02-2018,3 655
15-02-2018,3 675
14-02-2018,3 702
13-02-2018,3 725
10-02-2018,3 737
09-02-2018,3 749
08-02-2018,3 775
07-02-2018,3 798
06-02-2018,3 817
03-02-2018,3 816
02-02-2018,3 816
01-02-2018,3 810
31-01-2018,3 814
30-01-2018,3 818
27-01-2018,3 815
26-01-2018,3 825
25-01-2018,3 829
24-01-2018,3 833
23-01-2018,3 822
20-01-2018,3 815
19-01-2018,3 820
18-01-2018,3 819
17-01-2018,3 806
16-01-2018,3 823
13-01-2018,3 834
12-01-2018,3 853
11-01-2018,3 838
10-01-2018,3 812
09-01-2018,3 802
06-01-2018,3 801
05-01-2018,3 818
04-01-2018,3 825
03-01-2018,3 833
01-01-2018,3 851
31-12-2019,4 072
28-12-2019,4 101
24-12-2019,4 087
21-12-2019,4 083
20-12-2019,4 077
19-12-2019,4 064
18-12-2019,4 056
17-12-2019,4 055
14-12-2019,4 048
13-12-2019,4 044
12-12-2019,4 064
11-12-2019,4 072
10-12-2019,4 063
07-12-2019,4 049
06-12-2019,4 059
05-12-2019,4 056
04-12-2019,4 094
03-12-2019,4 138
30-11-2019,4 155
29-11-2019,4 161
28-11-2019,4 153
27-11-2019,4 136
26-11-2019,4 095
23-11-2019,4 065
22-11-2019,4 032
21-11-2019,4 028
20-11-2019,4 022
19-11-2019,4 054
16-11-2019,4 080
15-11-2019,4 084
14-11-2019,4 086
13-11-2019,4 075
09-11-2019,4 098
08-11-2019,4 121
07-11-2019,4 126
06-11-2019,4 104
05-11-2019,4 072
01-11-2019,4 032
31-10-2019,4 085
30-10-2019,4 087
29-10-2019,4 070
26-10-2019,4 043
25-10-2019,4 023
24-10-2019,4 005
23-10-2019,3 997
22-10-2019,3 992
19-10-2019,4 011
18-10-2019,4 028
17-10-2019,4 052
16-10-2019,4 084
15-10-2019,4 095
12-10-2019,4 124
11-10-2019,4 121
10-10-2019,4 142
09-10-2019,4 164
08-10-2019,4 141
05-10-2019,4 113
04-10-2019,4 110
03-10-2019,4 110
02-10-2019,4 158
01-10-2019,4 183
28-09-2019,4 209
27-09-2019,4 202
26-09-2019,4 222
25-09-2019,4 247
24-09-2019,4 262
21-09-2019,4 254
20-09-2019,4 268
19-09-2019,4 271
18-09-2019,4 250
17-09-2019,4 210
14-09-2019,4 129
13-09-2019,4 140
12-09-2019,4 156
11-09-2019,4 168
10-09-2019,4 118
07-09-2019,4 120
06-09-2019,4 154
05-09-2019,4 112
04-09-2019,4 105
03-09-2019,4 119
31-08-2019,4 133
30-08-2019,4 151
29-08-2019,4 181
28-08-2019,4 139
24-08-2019,4 160
23-08-2019,4 136
22-08-2019,4 140
21-08-2019,4 143
20-08-2019,4 152
17-08-2019,4 154
15-08-2019,4 169
14-08-2019,4 211
13-08-2019,4 139
10-08-2019,4 128
09-08-2019,4 163
08-08-2019,4 207
07-08-2019,4 247
06-08-2019,4 264
03-08-2019,4 284
02-08-2019,4 303
01-08-2019,4 242
31-07-2019,4 204
30-07-2019,4 198
27-07-2019,4 194
26-07-2019,4 196
25-07-2019,4 212
24-07-2019,4 198
23-07-2019,4 186
20-07-2019,4 183
19-07-2019,4 215
18-07-2019,4 285
17-07-2019,4 323
16-07-2019,4 328
13-07-2019,4 343
12-07-2019,4 326
11-07-2019,4 286
10-07-2019,4 279
09-07-2019,4 257
06-07-2019,4 220
05-07-2019,4 203
04-07-2019,4 195
03-07-2019,4 206
02-07-2019,4 216
29-06-2019,4 217
28-06-2019,4 224
27-06-2019,4 193
26-06-2019,4 147
25-06-2019,4 167
22-06-2019,4 165
20-06-2019,4 136
19-06-2019,4 137
18-06-2019,4 129
15-06-2019,4 118
14-06-2019,4 113
13-06-2019,4 108
12-06-2019,4 113
11-06-2019,4 110
08-06-2019,4 142
07-06-2019,4 139
06-06-2019,4 172
05-06-2019,4 277
04-06-2019,4 361
01-06-2019,4 444
31-05-2019,4 448
30-05-2019,4 446
29-05-2019,4 442
25-05-2019,4 434
24-05-2019,4 463
23-05-2019,4 497
22-05-2019,4 516
21-05-2019,4 517
18-05-2019,4 520
17-05-2019,4 477
16-05-2019,4 440
15-05-2019,4 415
14-05-2019,4 409
11-05-2019,4 400
10-05-2019,4 389
09-05-2019,4 404
08-05-2019,4 430
03-05-2019,4 461
01-05-2019,4 473
30-04-2019,4 451
27-04-2019,4 450
26-04-2019,4 453
25-04-2019,4 437
24-04-2019,4 424
19-04-2019,4 389
18-04-2019,4 374
17-04-2019,4 359
16-04-2019,4 355
13-04-2019,4 396
12-04-2019,4 400
11-04-2019,4 394
10-04-2019,4 358
09-04-2019,4 310
06-04-2019,4 276
05-04-2019,4 256
04-04-2019,4 242
03-04-2019,4 243
02-04-2019,4 209
30-03-2019,4 188
29-03-2019,4 195
28-03-2019,4 195
27-03-2019,4 205
26-03-2019,4 167
23-03-2019,4 099
22-03-2019,4 062
21-03-2019,4 032
